indicator,status,asset,timeframe,window,PF,win_rate_pct,total_trades,max_drawdown_pct,degradation_pct
ALL,included,BATS:SPY,1D,Full,1.018,60.09,213,20.66,
ALL,included,BATS:SPY,1D,W5-test,2.854,,13,3.46,
ALL,included,BATS:QQQ,1D,Full,1.017,53.94,241,15.49,
ALL,included,BATS:QQQ,1D,W5-test,2.033,,18,2.11,
ALL,included,BITSTAMP:BTCUSD,1D,Full,0.936,53.85,91,14.83,
ALL,included,BITSTAMP:BTCUSD,1D,W5-test,0.719,,9,2.88,
ALL,included,BATS:SPY,1W,Full,1.791,64.1,39,3.28,
ALL,included,BATS:SPY,1W,W5-test,,,2,0.28,
ALL,included,BATS:QQQ,1W,Full,1.599,54.55,55,4.76,
ALL,included,BATS:QQQ,1W,W5-test,0.511,,3,3.1,
ALL,included,BITSTAMP:BTCUSD,1W,Full,6.915,64.71,17,1.85,
ALL,included,BITSTAMP:BTCUSD,1W,W5-test,2.848,,4,0.86,
RSI-14,excluded,BATS:SPY,1D,Full,0.994,60.18,226,22.81,2.36
RSI-14,excluded,BATS:SPY,1D,W5-test,2.854,84.62,13,3.46,0.0
RSI-14,excluded,BATS:QQQ,1D,Full,1.092,54.92,244,15.54,-7.37
RSI-14,excluded,BATS:QQQ,1D,W5-test,2.171,77.78,18,2.1,-6.79
RSI-14,excluded,BITSTAMP:BTCUSD,1D,Full,0.807,50.0,106,21.7,13.78
RSI-14,excluded,BITSTAMP:BTCUSD,1D,W5-test,0.719,44.44,9,2.88,0.0
RSI-14,excluded,BATS:SPY,1W,Full,2.789,71.43,77,3.32,-55.72
RSI-14,excluded,BATS:SPY,1W,W5-test,2.637,80.0,5,0.6,
RSI-14,excluded,BATS:QQQ,1W,Full,1.594,52.24,67,4.39,0.31
RSI-14,excluded,BATS:QQQ,1W,W5-test,0.505,25.0,4,3.13,1.17
RSI-14,excluded,BITSTAMP:BTCUSD,1W,Full,3.19,54.55,33,2.6,53.87
RSI-14,excluded,BITSTAMP:BTCUSD,1W,W5-test,1.401,60.0,5,1.36,50.81
MACD-Histogram,excluded,BATS:SPY,1D,Full,1.046,60.48,210,21.27,-2.75
MACD-Histogram,excluded,BATS:SPY,1D,W5-test,2.895,84.62,13,3.32,-1.44
MACD-Histogram,excluded,BATS:QQQ,1D,Full,1.077,55.27,237,13.54,-5.9
MACD-Histogram,excluded,BATS:QQQ,1D,W5-test,2.033,77.78,18,2.11,0.0
MACD-Histogram,excluded,BITSTAMP:BTCUSD,1D,Full,1.012,52.22,90,14.83,-8.12
MACD-Histogram,excluded,BITSTAMP:BTCUSD,1D,W5-test,0.719,44.44,9,2.88,0.0
MACD-Histogram,excluded,BATS:SPY,1W,Full,1.664,58.97,39,3.26,7.09
MACD-Histogram,excluded,BATS:SPY,1W,W5-test,,100.0,2,0.28,
MACD-Histogram,excluded,BATS:QQQ,1W,Full,1.743,57.41,54,3.92,-9.01
MACD-Histogram,excluded,BATS:QQQ,1W,W5-test,0.511,33.33,3,3.1,0.0
MACD-Histogram,excluded,BITSTAMP:BTCUSD,1W,Full,6.882,64.71,17,1.85,0.48
MACD-Histogram,excluded,BITSTAMP:BTCUSD,1W,W5-test,2.848,50.0,4,0.86,0.0
Fisher-9,excluded,BATS:SPY,1D,Full,1.06,63.27,196,20.75,-4.13
Fisher-9,excluded,BATS:SPY,1D,W5-test,4.937,91.67,12,3.08,-72.99
Fisher-9,excluded,BATS:QQQ,1D,Full,1.076,59.05,210,19.71,-5.8
