trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2013-12-15,2013-12-18,863,435,-1509.79,-49.67,STOP,-1.005,0.116,29.025
2,2013-12-29,2014-01-06,729,918,756.99,25.813,STRONG,0.515,36.488,2.743
3,2014-01-19,2014-02-10,842,600,-1510.54,-28.827,STOP,-1.012,0.356,26.485
4,2014-06-22,2014-07-01,601,637,507.82,5.887,STRONG,0.352,9.631,7.745
5,2014-07-20,2014-07-30,628,565,-1551.48,-10.127,STOP,-1.043,0,9.156
6,2016-04-03,2016-04-16,420,392,-1637.18,-6.763,STOP,-1.113,2.381,1.905
7,2016-07-10,2016-07-20,650,666,161.94,2.36,REVERSAL,0.118,5.26,1.645
8,2016-09-18,2016-10-04,609,606,-128.43,-0.592,REVERSAL,-0.075,0.867,2.775
9,2016-11-13,2016-11-17,701,734,692.11,4.605,STRONG,0.496,6.987,0.551
10,2016-11-27,2016-12-05,728,749,472.99,2.783,REVERSAL,0.341,6.878,0.962
11,2017-01-22,2017-01-24,925,884,-330.59,-4.53,REVERSAL,-0.224,0.278,4.705
12,2017-03-12,2017-03-13,1228,1241,61.59,0.958,REVERSAL,0.047,1.712,1.024
13,2017-04-16,2017-05-04,1163,1578,3438.78,35.566,TARGET,2.396,30.356,0.172
14,2017-07-30,2017-08-01,2743,2730,-31.9,-0.574,STRONG,-0.018,6.787,4.666
15,2019-11-10,2019-11-21,9025,7529,-1501.24,-16.668,STOP,-1.001,0.558,11.478
16,2020-02-16,2020-02-27,9914,8553,-1480.94,-13.821,STOP,-1.002,3.893,12.974
17,2020-05-10,2020-06-03,8732,9668,698.71,10.614,REVERSAL,0.488,19.437,6.31
18,2020-06-07,2020-07-30,9751,11111,1129.84,13.84,REVERSAL,0.782,17.087,9.439
19,2020-08-23,2020-09-03,11646,10149,-1487.6,-12.948,STOP,-1.002,3.605,4.579
20,2021-01-17,2021-02-06,35820,39281,402.84,9.557,STRONG,0.281,14.532,19.598
21,2021-03-28,2021-04-04,55792,58211,273.04,4.234,REVERSAL,0.192,7.727,1.612
22,2021-05-09,2021-05-13,58306,46698,-1468.35,-19.999,STOP,-1.0,2.224,16.767
23,2023-12-17,2023-12-25,41346,43590,620.59,5.325,REVERSAL,0.439,7.408,2.015
24,2024-01-28,2024-02-04,42027,42569,127.93,1.189,REVERSAL,0.096,4.345,0.531
25,2024-03-24,2024-05-18,67189,66929,-34.2,-0.487,STRONG,-0.019,8.286,15.909
26,2024-06-02,2024-06-10,67753,69500,313.38,2.477,REVERSAL,0.225,6.193,0.241
27,2024-10-06,2024-10-21,62815,67339,943.27,7.099,REVERSAL,0.658,10.622,6.285
28,2024-11-03,2024-11-11,68739,86381,3509.88,25.552,TARGET,2.4,18.538,2.824
29,2025-06-01,2025-07-01,105706,105708,-15.98,-0.098,REVERSAL,0.0,4.618,7.063
