trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-01-02,2018-02-02,14680,8067,-1503.2,-45.125,STOP,-1.0,17.405,42.405
2,2018-05-09,2018-05-23,9309,7667,-1486.86,-17.73,STOP,-1.001,0.902,14.819
3,2018-08-01,2018-08-08,7603,6317,-1465.75,-17.006,STOP,-1.002,1.407,12.258
4,2019-04-26,2019-05-13,5156,7802,4932.62,51.193,TARGET,3.45,47.11,1.637
5,2019-06-07,2019-06-18,8002,9078,931.85,13.34,STRONG,0.623,18.442,6.131
6,2019-07-01,2019-08-10,10578,11272,302.87,6.458,REVERSAL,0.202,24.787,14.449
7,2019-08-19,2019-09-24,10928,8533,-1533.54,-22.005,STOP,-1.001,0.251,14.714
8,2019-10-26,2019-11-21,9254,7419,-1511.74,-19.919,STOP,-1.001,7.521,13.668
9,2020-01-06,2020-01-10,7764,8199,625.59,5.5,REVERSAL,0.431,9.01,1.249
10,2020-01-23,2020-02-02,8379,9328,1162.64,11.22,STRONG,0.788,14.214,1.982
11,2020-02-16,2020-02-27,9914,8553,-1519.72,-13.821,STOP,-1.002,3.893,12.974
12,2020-03-06,2020-03-09,9155,7788,-1496.68,-15.024,STOP,-1.002,0.7,12.665
13,2020-05-10,2020-06-03,8732,9668,706.15,10.614,REVERSAL,0.488,19.437,6.31
14,2020-06-07,2020-07-30,9751,11111,1141.89,13.84,REVERSAL,0.782,17.087,9.439
15,2020-08-22,2020-09-03,11669,10109,-1502.27,-13.462,STOP,-1.002,3.401,4.767
16,2020-11-26,2020-11-28,17161,17741,234.79,3.278,REVERSAL,0.165,4.283,4.228
17,2020-12-09,2020-12-20,18558,23470,2096.65,26.355,STRONG,1.432,30.93,5.326
18,2021-01-12,2021-02-06,34036,39281,663.57,15.302,STRONG,0.445,20.536,15.384
19,2021-02-23,2021-03-14,48889,59015,1026.12,20.602,STRONG,0.682,26.372,12.003
20,2021-03-26,2021-04-04,55082,58211,351.85,5.578,REVERSAL,0.235,9.116,2.058
21,2021-04-08,2021-04-12,58098,59831,245.45,2.881,STRONG,0.166,5.399,0.758
22,2021-04-27,2021-05-04,55092,53236,-238.7,-3.467,REVERSAL,-0.151,7.094,4.923
23,2021-05-09,2021-05-13,58306,46698,-1539.73,-19.999,STOP,-1.0,2.224,16.767
24,2021-08-30,2021-09-02,47004,49274,427.34,4.727,STRONG,0.289,7.204,1.003
25,2021-09-15,2021-10-02,48152,47685,-88.24,-1.069,STRONG,-0.053,1.416,17.816
26,2021-10-28,2021-11-09,60594,66945,822.13,10.376,STRONG,0.548,13.154,1.805
27,2021-11-25,2021-12-04,58991,48965,-1535.33,-17.087,STOP,-1.0,0.439,12.604
28,2023-04-26,2023-06-22,28429,29888,547.65,5.03,STRONG,0.372,8.182,12.92
29,2023-07-07,2023-07-09,30349,30166,-99.48,-0.703,REVERSAL,-0.056,0.297,0.965
30,2023-07-14,2023-08-17,30332,27046,-1524.83,-10.928,STOP,-1.001,0.363,5.796
31,2023-10-15,2023-10-19,27175,28732,1127.29,5.627,REVERSAL,0.772,10.028,0.191
32,2023-12-11,2023-12-12,41243,41457,53.21,0.419,REVERSAL,0.044,2.008,1.44
33,2023-12-17,2023-12-25,41346,43590,649.01,5.325,REVERSAL,0.439,7.408,2.015
34,2024-01-03,2024-02-04,42866,42569,-89.01,-0.793,REVERSAL,-0.051,14.422,10.174
35,2024-03-20,2024-05-18,67873,66929,-107.86,-1.49,STRONG,-0.067,7.194,16.756
36,2024-05-30,2024-06-10,68339,69500,192.37,1.598,REVERSAL,0.135,5.282,2.51
37,2024-07-25,2024-08-01,65797,65292,-102.54,-0.867,REVERSAL,-0.06,6.412,5.417
38,2024-10-06,2024-10-21,62815,67339,981.29,7.099,REVERSAL,0.658,10.622,6.285
39,2024-10-25,2024-11-01,66579,69489,601.41,4.269,REVERSAL,0.403,10.545,0.353
40,2024-11-05,2024-11-16,69387,90607,4205.82,30.467,STRONG,2.746,34.727,0.148
41,2024-12-09,2024-12-14,97469,101381,427.71,3.912,STRONG,0.274,5.308,3.245
42,2024-12-24,2025-01-01,98597,94387,-454.57,-4.368,WINDOW,-0.277,1.302,7.386
