trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,1999-12-21,1999-12-23,88.7,89.65,199.71,0.97,STRONG,0.147,2.311,1.423
2,2000-01-03,2000-01-04,94.76,88,-1356.57,-7.23,REVERSAL,-0.891,-1.33,7.2
3,2000-01-13,2000-01-24,91.26,91.24,-14.35,-0.122,REVERSAL,-0.002,6.975,0.319
4,2000-02-01,2000-02-04,92.51,96.9,528.32,4.643,STRONG,0.366,6.196,0.45
5,2000-02-22,2000-02-25,98.67,104.18,757.2,5.481,STRONG,0.521,8.949,-0.493
6,2000-03-03,2000-03-08,109.53,111.55,253.96,1.743,REVERSAL,0.18,3.967,2.966
7,2000-03-14,2000-03-27,107.01,117.35,1196.65,9.558,STRONG,0.808,12.606,5.616
8,2000-06-20,2000-06-22,98.4,94.76,-463.34,-3.797,REVERSAL,-0.298,1.34,3.693
9,2000-06-28,2000-07-19,93.9,96.62,356.96,2.795,REVERSAL,0.245,8.693,4.087
10,2000-08-24,2000-08-29,98.57,98.82,26.48,0.154,REVERSAL,0.029,1.403,0.959
11,2000-09-20,2000-10-03,94.7,85.41,-1538.33,-9.905,STOP,-1.002,-0.228,9.187
12,2005-11-10,2005-11-11,40.61,40.7,49.89,0.122,STRONG,0.061,0.758,-0.172
13,2005-11-17,2005-11-23,41.32,41.79,468.72,1.037,STRONG,0.343,1.694,0.713
14,2005-12-23,2006-01-12,41.41,42.99,1800.76,3.714,STRONG,1.229,4.588,3.019
15,2006-01-27,2006-02-07,42.12,40.52,-1600.29,-3.897,STOP,-1.017,0.475,3.632
16,2006-03-29,2006-04-03,41.93,41.97,-1.88,-0.005,STRONG,0.026,1.049,0.334
17,2006-04-27,2006-05-11,42.27,40.64,-1567.82,-3.954,STOP,-1.014,0.071,2.342
18,2006-09-26,2006-10-02,40.78,40.13,-614.5,-1.693,STRONG,-0.39,0.417,1.717
19,2006-10-26,2006-10-31,42.83,42.57,-284.54,-0.707,REVERSAL,-0.166,-0.023,1.798
20,2006-11-22,2006-11-27,44.74,43.65,-1123.99,-2.535,REVERSAL,-0.734,0.268,2.459
21,2007-01-24,2007-02-26,44.31,45.03,580.78,1.524,REVERSAL,0.425,2.798,2.302
22,2007-04-20,2007-04-30,45.41,45.95,509.15,1.089,REVERSAL,0.38,2.841,0.176
23,2007-05-21,2007-05-29,47.02,46.8,-275.45,-0.568,REVERSAL,-0.154,0.744,2.233
24,2007-06-21,2007-06-25,47.75,47.08,-699.48,-1.502,REVERSAL,-0.445,-0.084,1.948
25,2007-06-29,2007-07-10,47.61,48.47,736.45,1.705,STRONG,0.535,2.878,-0.147
26,2007-07-17,2007-07-18,50.24,50.16,-134.89,-0.259,REVERSAL,-0.056,-0.139,1.194
27,2007-07-24,2007-07-31,49.34,47.78,-1537.78,-3.26,STOP,-1.017,0.669,2.817
28,2007-10-22,2007-10-26,53.08,53.92,472.69,1.482,REVERSAL,0.35,2.129,2.035
29,2008-04-18,2008-04-29,46.72,47.59,410.6,1.761,STRONG,0.299,2.29,1.691
30,2008-05-27,2008-06-24,49.06,46.51,-1498.92,-5.295,STOP,-1.01,3.159,4.24
31,2008-08-21,2008-09-04,46.88,44.14,-1467.96,-5.942,STOP,-1.008,1.706,4.458
32,2009-08-21,2009-08-24,40.3,40.24,-67.78,-0.249,STRONG,-0.029,0.67,0.496
33,2009-10-06,2009-10-16,41.95,42.77,555.23,1.854,REVERSAL,0.415,3.201,0.429
34,2009-11-27,2009-12-01,43.52,44,326.31,1.002,STRONG,0.253,1.792,0.942
35,2009-12-18,2009-12-29,44.47,46.02,1230.89,3.384,STRONG,0.89,4.115,-0.45
36,2010-01-12,2010-01-14,45.79,46.38,520.53,1.188,REVERSAL,0.392,1.594,0.393
37,2010-03-17,2010-03-19,47.68,47.48,-235.94,-0.519,STRONG,-0.131,0.566,0.755
38,2010-04-06,2010-04-08,48.76,48.73,-73.55,-0.161,REVERSAL,-0.019,0.226,1.066
39,2010-04-14,2010-04-16,49.92,49.52,-442.07,-0.901,REVERSAL,-0.272,0.541,1.442
40,2010-04-22,2010-04-26,50.32,50.4,26.17,0.059,STRONG,0.049,0.656,0.457
41,2010-05-03,2010-05-05,49.94,47.97,-1512.2,-4.043,STOP,-1.026,-1.241,3.724
42,2010-05-12,2010-05-20,48.63,44.88,-1442.77,-7.807,STOP,-1.005,0.329,6.334
43,2010-08-04,2010-08-06,46.95,46.75,-139.72,-0.526,REVERSAL,-0.081,-0.064,1.917
44,2010-09-20,2010-09-21,48.84,48.81,-54.86,-0.161,STRONG,-0.015,0.676,0.471
45,2010-10-12,2010-10-18,50.12,51.29,738.73,2.233,STRONG,0.555,3.192,-0.1
46,2010-10-25,2010-10-26,51.9,52.02,47.22,0.131,REVERSAL,0.059,0.482,0.925
47,2010-11-18,2010-12-07,52.44,53.87,877.05,2.626,STRONG,0.649,3.966,1.278
48,2010-12-21,2010-12-23,54.9,54.73,-187.5,-0.409,REVERSAL,-0.1,0.109,0.528
49,2010-12-31,2011-01-19,54.47,56.5,1990.31,3.625,REVERSAL,1.447,5.122,-0.826
50,2011-02-04,2011-02-17,57.39,58.85,1054.21,2.443,REVERSAL,0.761,2.875,-0.017
51,2011-02-25,2011-03-15,57.66,54.63,-2234.37,-5.352,STOP,-1.504,1.223,3.191
52,2011-03-29,2011-04-01,57.09,57.45,170.13,0.53,STRONG,0.142,1.419,0.018
53,2011-04-21,2011-04-29,58.35,59.07,427.19,1.133,STRONG,0.326,1.611,0.12
54,2011-05-19,2011-06-06,58.22,56.17,-1496.11,-3.619,STOP,-1.014,0.24,3.349
55,2011-07-14,2011-07-20,57.1,58.59,842.11,2.508,STRONG,0.62,3.66,0.21
56,2011-07-28,2011-07-29,58.2,57.99,-149.33,-0.461,REVERSAL,-0.082,0.704,1.306
57,2011-10-14,2011-10-19,58.19,56.86,-505.06,-2.384,REVERSAL,-0.341,0.172,2.629
58,2011-10-26,2011-10-31,57.28,57.94,223.49,1.052,STRONG,0.173,3.352,-1.1
59,2011-12-09,2012-01-09,57.03,57.61,235.21,0.917,STRONG,0.184,1.666,5.015
60,2012-01-17,2012-01-20,58.72,59.76,609.05,1.67,REVERSAL,0.454,2.129,0.064
61,2012-02-24,2012-02-27,63.97,64.04,4.55,0.009,REVERSAL,0.037,0.453,1.0
62,2012-03-06,2012-03-21,63.58,67.11,2511.87,5.449,STRONG,1.787,6.15,-0.299
63,2012-03-27,2012-03-28,68.22,67.93,-289.68,-0.525,REVERSAL,-0.16,0.425,0.997
64,2012-04-09,2012-04-23,67.22,65.07,-1535.79,-3.297,STOP,-1.017,0.327,2.946
65,2012-04-27,2012-05-07,67.25,64.3,-1631.53,-4.484,STOP,-1.107,0.565,3.807
66,2012-07-27,2012-08-14,64.88,67.04,971.63,3.228,STRONG,0.707,3.9,1.495
67,2012-08-20,2012-08-21,68.43,68.14,-240.05,-0.524,STRONG,-0.136,0.658,0.804
68,2012-09-06,2012-09-12,69.54,68.62,-636.97,-1.422,REVERSAL,-0.415,0.014,1.913
69,2012-09-27,2012-10-10,69.15,66.99,-1479.44,-3.222,STOP,-1.01,0.94,2.965
70,2013-01-23,2013-01-28,67.6,67.14,-373.91,-0.78,REVERSAL,-0.233,-0.325,1.538
71,2013-02-05,2013-02-20,67.47,67.18,-232.62,-0.53,REVERSAL,-0.136,1.171,1.349
72,2013-02-27,2013-03-06,67.25,68.5,745.92,1.758,STRONG,0.569,2.465,1.056
73,2013-03-19,2013-04-05,68.24,67.85,-324.75,-0.671,REVERSAL,-0.198,1.509,1.539
74,2013-04-16,2013-04-18,69.48,67.18,-1447.05,-3.409,STOP,-1.009,-0.851,2.547
75,2013-04-29,2013-05-01,70.22,70.38,50.95,0.128,STRONG,0.066,0.897,0.256
76,2013-05-17,2013-05-22,74.31,73.61,-540.22,-1.042,REVERSAL,-0.356,0.861,1.44
77,2013-06-03,2013-06-20,73.39,71.09,-1420.97,-3.232,STOP,-1.009,0.586,2.616
78,2013-08-22,2013-08-29,76.17,75.95,-187.11,-0.389,REVERSAL,-0.103,1.457,1.589
79,2013-09-06,2013-09-12,76.94,78,557.09,1.277,STRONG,0.449,1.794,-0.377
80,2013-09-18,2013-09-20,79.32,78.98,-252.33,-0.528,STRONG,-0.152,0.46,0.466
81,2013-10-17,2013-10-23,80.85,81.94,514.39,1.248,REVERSAL,0.413,2.536,-0.618
82,2013-11-08,2013-11-21,82.55,83.53,481.67,1.087,REVERSAL,0.389,1.884,0.666
83,2013-11-27,2013-12-02,85.23,85.47,94.49,0.181,STRONG,0.108,0.857,-0.141
84,2013-12-06,2013-12-11,86.01,85.17,-596.08,-1.076,REVERSAL,-0.397,0.605,1.105
85,2013-12-23,2013-12-27,87.42,87.51,1.46,0.003,STRONG,0.038,0.549,0.172
86,2014-01-21,2014-01-23,88.56,88.47,-103.0,-0.202,REVERSAL,-0.038,0.497,0.79
87,2014-03-20,2014-03-27,90.3,87.26,-1407.95,-3.465,STOP,-1.013,0.388,3.256
88,2014-04-01,2014-04-07,89.22,85.64,-1371.62,-4.111,STOP,-1.008,0.516,3.452
89,2014-05-21,2014-05-28,88.85,90.71,706.32,1.992,STRONG,0.567,2.532,0.056
90,2014-06-04,2014-06-12,91.53,92.04,207.85,0.457,STRONG,0.192,1.628,0.262
91,2014-06-27,2014-07-07,93.76,95.4,936.52,1.648,STRONG,0.752,2.08,0.096
92,2014-07-22,2014-07-24,96.62,97.11,204.82,0.407,STRONG,0.191,0.921,-0.155
93,2014-08-19,2014-08-28,98.71,99.4,299.02,0.599,REVERSAL,0.26,0.983,0.182
94,2014-09-16,2014-10-02,99.39,96.81,-1411.36,-2.695,STOP,-1.011,1.182,2.505
95,2014-10-31,2014-11-04,101.41,101.35,-50.35,-0.159,REVERSAL,-0.014,0.552,0.73
96,2014-11-11,2014-11-17,102.29,102.9,196.37,0.496,REVERSAL,0.179,0.968,0.411
97,2014-11-21,2014-12-01,103.88,104.8,356.44,0.785,REVERSAL,0.303,2.277,-0.173
98,2014-12-18,2014-12-29,104.26,105.01,207.16,0.619,STRONG,0.181,0.959,0.528
99,2015-01-22,2015-02-25,104.04,108.32,1197.89,4.012,STRONG,0.923,4.633,4.123
100,2015-03-18,2015-03-20,107.93,108.52,189.82,0.446,STRONG,0.172,1.056,0.056
101,2015-04-08,2015-04-21,106.65,108.05,524.82,1.212,STRONG,0.42,1.65,1.031
102,2015-05-26,2015-05-27,109.21,110.95,660.12,1.492,REVERSAL,0.518,1.712,-0.073
103,2015-06-02,2015-06-03,110.08,110.39,82.5,0.181,STRONG,0.093,0.663,-0.045
104,2015-06-10,2015-06-26,109.5,109.26,-140.8,-0.319,REVERSAL,-0.07,1.489,2.0
105,2015-07-16,2015-07-22,111.95,112.61,195.54,0.489,REVERSAL,0.172,2.18,-0.192
106,2015-07-28,2015-08-20,111.14,107.26,-1420.16,-3.589,STOP,-1.005,1.674,2.627
107,2015-10-22,2015-10-30,109.72,113.32,983.75,3.179,STRONG,0.75,3.974,-2.142
108,2015-11-18,2015-12-03,113.64,112.5,-399.73,-1.103,REVERSAL,-0.266,1.857,1.581
109,2015-12-16,2016-01-04,113.99,109.12,-1399.82,-4.37,STOP,-1.006,0.487,3.649
110,2016-03-22,2016-03-23,108.13,107.22,-321.59,-0.941,REVERSAL,-0.215,-0.129,1.054
111,2016-03-30,2016-04-05,109.37,108.87,-204.66,-0.557,REVERSAL,-0.126,0.974,0.896
112,2016-04-12,2016-04-22,109.52,108.97,-216.23,-0.602,STRONG,-0.135,1.753,1.278
113,2016-05-24,2016-06-03,108.47,110.05,495.64,1.356,REVERSAL,0.4,1.964,-0.197
114,2016-06-30,2016-07-12,107.55,111.48,1119.4,3.552,STRONG,0.878,3.942,0.911
115,2016-07-18,2016-07-19,112.55,112.12,-201.21,-0.482,STRONG,-0.12,-0.062,0.551
116,2016-07-26,2016-08-02,113.8,114.95,433.93,0.91,REVERSAL,0.363,2.047,-0.264
117,2016-08-15,2016-08-16,117.71,117.04,-410.22,-0.669,STRONG,-0.262,-0.187,0.578
118,2016-08-30,2016-09-12,116.57,113.63,-1677.25,-2.621,STOP,-1.217,1.33,1.982
119,2016-09-21,2016-09-23,118.16,118.32,16.12,0.035,STRONG,0.047,0.897,0
120,2016-09-29,2016-10-04,117.85,118.36,155.58,0.333,STRONG,0.156,1.112,-0.059
121,2016-10-19,2016-10-25,117.86,119.18,508.23,1.019,STRONG,0.429,1.527,0.704
122,2016-11-08,2016-11-28,117.12,118.52,452.61,1.095,STRONG,0.377,1.767,2.638
123,2016-12-29,2016-12-30,119.72,118.47,-572.28,-1.144,REVERSAL,-0.396,0.192,1.32
124,2017-01-24,2017-01-30,124.19,124.81,230.41,0.399,REVERSAL,0.22,1.394,0.048
125,2017-02-07,2017-02-23,126.3,130,1832.36,2.828,REVERSAL,1.446,3.484,0.333
126,2017-03-01,2017-03-02,131.45,130.77,-435.57,-0.617,STRONG,-0.272,-0.015,0.631
127,2017-03-15,2017-03-20,132.11,131.8,-247.94,-0.335,STRONG,-0.13,0.182,0.492
128,2017-03-24,2017-04-06,130.64,132.03,631.85,0.963,REVERSAL,0.524,2.174,0.949
129,2017-04-24,2017-04-26,134.17,134.93,287.71,0.466,STRONG,0.261,0.999,-0.231
130,2017-05-02,2017-05-03,137.44,136.98,-295.62,-0.435,REVERSAL,-0.17,-0.196,0.6
131,2017-05-09,2017-05-10,138.33,138.39,-42.0,-0.057,REVERSAL,0.024,0.087,0.304
132,2017-05-18,2017-06-06,137.27,142.85,2393.57,3.963,STRONG,1.862,4.706,-0.284
133,2017-06-19,2017-07-06,140.47,135.96,-1403.76,-3.309,STOP,-1.006,1.296,3.111
134,2017-07-24,2017-07-27,144.78,143.95,-325.44,-0.673,REVERSAL,-0.208,0.815,1.713
135,2017-08-09,2017-08-21,144.13,140.26,-1384.21,-2.784,STOP,-1.007,0.576,2.414
136,2017-08-29,2017-09-14,142.98,145.55,735.0,1.697,STRONG,0.596,2.521,-0.014
137,2017-09-20,2017-10-09,145.36,147.48,680.89,1.358,STRONG,0.556,1.823,2.243
138,2017-10-16,2017-10-18,148.86,148.85,-70.85,-0.107,STRONG,-0.003,0.235,0.195
139,2017-10-25,2017-11-09,147.44,153.68,2642.82,4.13,REVERSAL,2.042,4.816,0.353
140,2017-11-21,2017-11-29,155.51,153.85,-691.39,-1.167,REVERSAL,-0.463,0.759,1.537
141,2017-12-07,2017-12-13,154.03,155.98,545.68,1.165,STRONG,0.438,1.597,-0.279
142,2017-12-26,2018-01-04,156.53,160.3,1318.23,2.307,STRONG,1.008,2.722,0.53
143,2018-01-22,2018-01-24,168.13,168.4,34.49,0.061,STRONG,0.066,1.255,0.41
144,2018-02-14,2018-02-27,162.69,168.28,791.98,3.334,STRONG,0.589,4.942,0.154
145,2018-03-05,2018-03-13,167.84,171.7,560.91,2.199,STRONG,0.421,4.391,0.524
146,2018-05-09,2018-05-14,167.89,169.74,279.08,1.001,STRONG,0.219,1.745,-0.238
147,2018-07-25,2018-07-26,182.83,180.04,-725.03,-1.625,REVERSAL,-0.483,-1.045,1.652
148,2018-08-02,2018-08-09,179.54,181.9,444.57,1.214,STRONG,0.345,1.721,0.256
149,2018-08-16,2018-08-30,179.83,186.4,1545.63,3.552,STRONG,1.135,4.276,0.869
150,2018-09-20,2018-10-01,184.73,186.16,302.43,0.674,STRONG,0.243,1.516,1.857
151,2019-02-25,2019-02-26,173.53,173.69,-3.04,-0.008,REVERSAL,0.025,0.415,0.415
152,2019-03-19,2019-03-22,179.06,178.55,-175.65,-0.385,REVERSAL,-0.091,2.105,0.458
153,2019-04-03,2019-04-09,183.79,184.47,115.04,0.27,STRONG,0.11,0.811,0.62
154,2019-04-16,2019-04-18,186.51,187.38,202.87,0.366,REVERSAL,0.181,0.761,0.118
155,2019-06-18,2019-06-21,186.42,188.56,365.12,1.047,STRONG,0.28,1.797,0.456
156,2019-07-03,2019-07-08,191.45,189.7,-434.69,-1.014,REVERSAL,-0.272,-0.026,1.316
157,2019-07-12,2019-07-16,193.54,193.14,-141.21,-0.307,STRONG,-0.067,0.336,0.506
158,2019-07-24,2019-07-25,195.16,193.29,-524.31,-1.058,STRONG,-0.332,-0.328,1.143
159,2019-08-21,2019-09-10,188.64,190.63,282.66,0.954,REVERSAL,0.219,1.953,3.753
160,2019-09-18,2019-09-19,192.53,192.83,21.57,0.056,STRONG,0.042,0.782,0.031
161,2019-10-04,2019-10-18,188.82,191.68,453.86,1.414,REVERSAL,0.341,3.008,1.88
162,2019-10-25,2019-10-29,195.65,196.03,38.31,0.094,STRONG,0.055,1.114,-0.184
163,2019-11-25,2019-11-29,204.23,205.09,184.15,0.321,STRONG,0.168,0.891,0.088
164,2019-12-05,2019-12-18,202.84,209.54,1785.8,3.201,STRONG,1.28,3.594,-0.296
165,2019-12-26,2019-12-27,213.8,213.6,-136.11,-0.193,STRONG,-0.045,0.355,0.355
166,2020-01-08,2020-01-10,217.16,218.42,273.06,0.48,STRONG,0.226,1.248,-0.254
167,2020-01-16,2020-01-22,222.29,223.86,354.24,0.606,STRONG,0.282,1.287,0.076
168,2020-04-29,2020-05-01,219.01,212.73,-487.19,-2.966,REVERSAL,-0.32,0.47,3.347
169,2020-05-20,2020-05-21,231.4,228.86,-257.62,-1.197,STRONG,-0.162,0.318,1.322
170,2020-06-23,2020-06-26,248.85,240.21,-932.88,-3.57,REVERSAL,-0.625,0.191,3.685
171,2020-07-02,2020-07-07,252.2,256.6,418.71,1.644,STRONG,0.309,3.442,-1.281
172,2020-07-23,2020-08-07,258.02,271.46,1185.77,5.106,STRONG,0.837,6.573,2.597
173,2020-08-17,2020-08-19,275.33,276.09,52.79,0.176,STRONG,0.056,1.34,0.153
174,2020-08-26,2020-09-03,291.97,287.4,-549.14,-1.664,REVERSAL,-0.351,3.949,2.589
175,2020-09-28,2020-10-13,277.21,294.51,1190.99,6.138,STRONG,0.829,7.305,1.36
176,2020-10-19,2020-11-12,283.81,288.39,347.81,1.513,REVERSAL,0.251,5.402,5.934
177,2020-12-17,2020-12-21,311.01,308.91,-291.61,-0.775,REVERSAL,-0.171,0.312,2.383
178,2020-12-28,2020-12-29,312.69,312.95,-6.81,-0.017,STRONG,0.023,0.638,0.211
179,2021-01-08,2021-01-13,319.04,316.03,-382.67,-1.043,REVERSAL,-0.234,-0.58,2.457
180,2021-01-20,2021-01-27,323.78,319.42,-514.98,-1.446,REVERSAL,-0.326,2.02,1.983
181,2021-02-05,2021-02-16,331.37,335.53,375.0,1.155,STRONG,0.279,2.058,0.564
182,2021-03-11,2021-04-06,318.05,330.81,795.88,3.91,STRONG,0.561,4.647,3.352
183,2021-05-20,2021-06-02,328.84,333.46,381.71,1.304,REVERSAL,0.279,2.112,0.669
184,2021-06-17,2021-06-18,345.35,342.62,-365.8,-0.89,STRONG,-0.219,-0.157,1.011
185,2021-06-24,2021-06-25,349.9,349.45,-101.56,-0.229,STRONG,-0.038,0.234,0.303
186,2021-07-23,2021-07-29,368.21,366.47,-273.95,-0.572,STRONG,-0.152,0.185,2.186
187,2021-08-20,2021-08-26,367.74,372.41,563.29,1.169,STRONG,0.413,2.08,-0.286
188,2021-09-15,2021-09-20,378.06,367.21,-1537.5,-2.968,STOP,-1.002,0.222,1.402
189,2021-10-21,2021-10-22,377.28,374.09,-385.09,-0.945,STRONG,-0.235,-0.082,1.297
190,2021-10-28,2021-11-05,384.23,398.59,1522.58,3.635,STRONG,1.071,4.362,0.919
