trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-01-22,2018-01-24,168.13,168.4,37.34,0.061,STRONG,0.066,1.255,0.41
2,2018-02-14,2018-02-27,162.69,168.28,857.07,3.334,STRONG,0.589,4.942,0.154
3,2018-03-05,2018-03-13,167.84,171.7,608.89,2.199,STRONG,0.421,4.391,0.524
4,2018-05-09,2018-05-14,167.89,169.74,302.61,1.001,STRONG,0.219,1.745,-0.238
5,2018-07-25,2018-07-26,182.83,180.04,-784.46,-1.625,REVERSAL,-0.483,-1.045,1.652
6,2018-08-02,2018-08-09,179.54,181.9,481.62,1.214,STRONG,0.345,1.721,0.256
7,2018-08-16,2018-08-30,179.83,186.4,1673.36,3.552,STRONG,1.135,4.276,0.869
8,2018-09-20,2018-10-01,184.73,186.16,327.32,0.674,STRONG,0.243,1.516,1.857
9,2019-02-25,2019-02-26,173.53,173.69,-3.29,-0.008,REVERSAL,0.025,0.415,0.415
10,2019-03-19,2019-03-22,179.06,178.55,-190.11,-0.385,REVERSAL,-0.091,2.105,0.458
11,2019-04-03,2019-04-09,183.79,184.47,124.46,0.27,STRONG,0.11,0.811,0.62
12,2019-04-16,2019-04-18,186.51,187.38,219.94,0.366,REVERSAL,0.181,0.761,0.118
13,2019-06-18,2019-06-21,186.42,188.56,396.36,1.047,STRONG,0.28,1.797,0.456
14,2019-07-03,2019-07-08,191.45,189.7,-469.62,-1.014,REVERSAL,-0.272,-0.026,1.316
15,2019-07-12,2019-07-16,193.54,193.14,-153.08,-0.307,STRONG,-0.067,0.336,0.506
16,2019-07-24,2019-07-25,195.16,193.29,-567.66,-1.058,STRONG,-0.332,-0.328,1.143
17,2019-08-21,2019-09-10,188.64,190.63,306.06,0.954,REVERSAL,0.219,1.953,3.753
18,2019-09-18,2019-09-19,192.53,192.83,23.4,0.056,STRONG,0.042,0.782,0.031
19,2019-10-04,2019-10-18,188.82,191.68,491.23,1.414,REVERSAL,0.341,3.008,1.88
20,2019-10-25,2019-10-29,195.65,196.03,41.44,0.094,STRONG,0.055,1.114,-0.184
21,2019-11-25,2019-11-29,204.23,205.09,199.22,0.321,STRONG,0.168,0.891,0.088
22,2019-12-05,2019-12-18,202.84,209.54,1928.66,3.201,STRONG,1.28,3.594,-0.296
23,2019-12-26,2019-12-27,213.8,213.6,-147.28,-0.193,STRONG,-0.045,0.355,0.355
24,2020-01-08,2020-01-10,217.16,218.42,295.99,0.48,STRONG,0.226,1.248,-0.254
25,2020-01-16,2020-01-22,222.29,223.86,383.87,0.606,STRONG,0.282,1.287,0.076
26,2020-04-29,2020-05-01,219.01,212.73,-526.17,-2.966,REVERSAL,-0.32,0.47,3.347
27,2020-05-20,2020-05-21,231.4,228.86,-279.78,-1.197,STRONG,-0.162,0.318,1.322
28,2020-06-23,2020-06-26,248.85,240.21,-1012.84,-3.57,REVERSAL,-0.625,0.191,3.685
29,2020-07-02,2020-07-07,252.2,256.6,456.02,1.644,STRONG,0.309,3.442,-1.281
30,2020-07-23,2020-08-07,258.02,271.46,1291.18,5.106,STRONG,0.837,6.573,2.597
31,2020-08-17,2020-08-19,275.33,276.09,57.15,0.176,STRONG,0.056,1.34,0.153
32,2020-08-26,2020-09-03,291.97,287.4,-592.88,-1.664,REVERSAL,-0.351,3.949,2.589
33,2020-09-28,2020-10-13,277.21,294.51,1293.07,6.138,STRONG,0.829,7.305,1.36
34,2020-10-19,2020-11-12,283.81,288.39,377.86,1.513,REVERSAL,0.251,5.402,5.934
35,2020-12-17,2020-12-21,311.01,308.91,-315.7,-0.775,REVERSAL,-0.171,0.312,2.383
36,2020-12-28,2020-12-29,312.69,312.95,-7.34,-0.017,STRONG,0.023,0.638,0.211
37,2021-01-08,2021-01-13,319.04,316.03,-415.94,-1.043,REVERSAL,-0.234,-0.58,2.457
38,2021-01-20,2021-01-27,323.78,319.42,-557.11,-1.446,REVERSAL,-0.326,2.02,1.983
39,2021-02-05,2021-02-16,331.37,335.53,405.61,1.155,STRONG,0.279,2.058,0.564
40,2021-03-11,2021-04-06,318.05,330.81,870.49,3.91,STRONG,0.561,4.647,3.352
41,2021-05-20,2021-06-02,328.84,333.46,416.02,1.304,REVERSAL,0.279,2.112,0.669
42,2021-06-17,2021-06-18,345.35,342.62,-396.54,-0.89,STRONG,-0.219,-0.157,1.011
43,2021-06-24,2021-06-25,349.9,349.45,-109.56,-0.229,STRONG,-0.038,0.234,0.303
44,2021-07-23,2021-07-29,368.21,366.47,-297.13,-0.572,STRONG,-0.152,0.185,2.186
45,2021-08-20,2021-08-26,367.74,372.41,606.29,1.169,STRONG,0.413,2.08,-0.286
46,2021-09-15,2021-09-20,378.06,367.21,-1672.17,-2.968,STOP,-1.002,0.222,1.402
47,2021-10-21,2021-10-22,377.28,374.09,-417.19,-0.945,STRONG,-0.235,-0.082,1.297
48,2021-10-28,2021-11-05,384.23,398.59,1648.29,3.635,STRONG,1.071,4.362,0.919
49,2021-11-18,2021-11-26,401.76,391.19,-1370.81,-2.73,REVERSAL,-0.828,1.73,2.984
50,2021-12-07,2021-12-28,397.84,401.6,252.02,0.845,STRONG,0.178,1.694,5.12
51,2022-08-03,2022-08-05,322.9,321.74,-108.21,-0.459,REVERSAL,-0.053,0.564,1.397
52,2022-08-12,2022-08-17,330.4,328.48,-173.21,-0.681,REVERSAL,-0.094,1.217,1.223
53,2022-08-25,2022-08-30,320.59,302.7,-1601.74,-5.678,STOP,-1.001,0.287,5.399
54,2022-11-30,2022-12-06,293.37,281.67,-970.99,-4.086,REVERSAL,-0.613,0.811,4.47
55,2023-01-26,2023-01-30,293.35,290.26,-314.51,-1.153,REVERSAL,-0.186,1.674,1.179
56,2023-02-17,2023-03-17,301.17,305.35,333.4,1.287,STRONG,0.234,2.65,5.306
57,2023-03-30,2023-04-04,315.69,319.06,283.89,0.967,STRONG,0.204,1.882,0.029
58,2023-04-21,2023-05-09,316.62,321.63,534.76,1.482,STRONG,0.371,2.344,2.126
59,2023-05-17,2023-05-19,331.13,336.5,654.7,1.521,STRONG,0.447,2.137,-0.112
60,2023-05-25,2023-05-30,339.73,349.97,1217.1,2.913,STRONG,0.803,4.18,-0.274
61,2023-06-12,2023-06-16,360.5,367.92,790.25,1.957,STRONG,0.525,3.426,0.13
62,2023-07-13,2023-07-14,379.16,379.06,-53.66,-0.126,STRONG,-0.007,0.976,0.258
63,2023-08-23,2023-08-31,369.12,377.98,882.59,2.299,STRONG,0.581,2.871,2.855
64,2023-09-07,2023-09-25,372.07,356.8,-1641.62,-4.202,STOP,-1.002,1.666,3.892
65,2023-11-20,2023-11-21,390.75,388.46,-286.72,-0.686,REVERSAL,-0.155,-0.389,1.036
66,2023-12-19,2023-12-20,409.17,403.07,-806.76,-1.59,REVERSAL,-0.481,0.318,1.532
67,2024-01-19,2024-01-22,421.19,421.72,11.61,0.026,STRONG,0.036,0.84,0.017
68,2024-02-20,2024-02-23,427.33,436.77,936.83,2.108,STRONG,0.63,3.103,1.334
69,2024-03-01,2024-03-04,445.62,444.01,-213.7,-0.461,STRONG,-0.106,0.094,0.415
70,2024-03-11,2024-03-13,437.4,440.24,228.11,0.549,REVERSAL,0.172,1.513,0.215
71,2024-03-19,2024-04-19,438.58,421.77,-1620.58,-3.931,STOP,-1.002,2.453,3.591
72,2024-05-20,2024-05-23,454.92,453.65,-181.05,-0.379,STRONG,-0.086,1.244,0.675
73,2024-05-31,2024-06-07,450.72,462.95,1189.09,2.612,STRONG,0.795,3.332,0.626
74,2024-08-28,2024-09-25,471.36,485.81,866.23,2.964,STRONG,0.573,3.486,4.916
75,2024-10-01,2024-10-17,481.28,491.24,691.58,1.968,REVERSAL,0.46,3.647,0.74
76,2024-10-24,2024-11-01,492.33,487.42,-469.79,-1.097,REVERSAL,-0.269,1.832,1.743
77,2024-11-19,2024-12-05,503.47,521.8,1461.02,3.539,STRONG,0.949,4.086,1.373
78,2024-12-11,2024-12-12,529.93,526.49,-361.11,-0.749,STRONG,-0.196,-0.183,0.738
79,2024-12-23,2025-01-02,522.88,510.22,-961.89,-2.52,WINDOW,-0.575,1.599,3.284
