trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2025-01-17,2025-01-24,521.75,529.62,470.04,1.408,STRONG,0.34,2.313,0.324
2,2025-02-07,2025-02-20,522.93,537.22,921.91,2.631,REVERSAL,0.643,3.419,0.187
3,2025-06-27,2025-07-01,548.1,546.98,-133.4,-0.304,STRONG,-0.059,0.858,0.628
4,2025-07-25,2025-07-29,566.38,567.25,32.44,0.054,STRONG,0.062,1.012,-0.026
5,2025-08-22,2025-09-08,571.98,578.86,548.5,1.102,STRONG,0.397,1.598,2.176
6,2025-09-12,2025-09-16,586.67,591.17,379.37,0.667,STRONG,0.287,1.055,-0.277
7,2025-10-17,2025-10-30,603.94,629.24,1678.47,4.087,STOP,1.136,5.476,0.695
8,2025-12-05,2025-12-08,625.49,624.27,-110.69,-0.295,STRONG,-0.047,0.536,0.608
9,2025-12-19,2025-12-26,617.06,623.88,371.97,1.005,STRONG,0.267,1.37,-0.115
10,2026-01-09,2026-01-21,626.66,616.27,-869.91,-1.757,REVERSAL,-0.529,0.533,3.129
11,2026-04-17,2026-04-20,648.86,646.78,-147.3,-0.42,REVERSAL,-0.073,-0.015,0.977
12,2026-04-24,2026-04-28,663.89,657.54,-385.59,-1.056,REVERSAL,-0.228,0.081,1.518
13,2026-05-08,2026-05-12,711.24,707.23,-264.28,-0.664,REVERSAL,-0.148,0.471,2.053
14,2026-05-29,2026-06-04,738.32,740.6,87.81,0.209,REVERSAL,0.085,1.399,0.772
15,2026-06-12,2026-06-22,721.35,737.94,618.55,2.199,STRONG,0.423,3.341,0.069
16,2026-07-10,2026-07-24,725.52,685.5,-1547.57,-5.613,STOP,-1.001,-0.16,5.342
