trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2000-02-22,2000-03-13,104.2,110.8,486.94,6.231,REVERSAL,0.331,11.744,3.551
2,2003-07-07,2003-07-21,31.85,31.79,-29.93,-0.288,REVERSAL,-0.013,2.826,3.893
3,2003-08-25,2003-09-22,33.4,32.57,-279.61,-2.584,REVERSAL,-0.179,4.371,2.635
4,2004-03-29,2004-08-02,37.11,33.06,-1523.74,-11.008,STOP,-1.006,2.129,9.189
5,2004-11-29,2004-12-06,40.14,39.92,-103.23,-0.648,REVERSAL,-0.059,0.897,3.313
6,2005-08-29,2005-12-12,38.78,41.57,1416.16,7.091,STRONG,0.974,9.103,3.739
7,2006-01-03,2006-01-23,42.69,42.1,-281.42,-1.481,REVERSAL,-0.175,1.452,3.771
8,2006-02-27,2006-06-05,41.46,38.06,-1523.81,-8.297,STOP,-1.008,3.835,7.791
9,2007-01-29,2007-03-05,44.17,42.92,-509.66,-2.929,REVERSAL,-0.335,3.124,4.777
10,2008-06-09,2008-06-16,48.38,47.41,-236.15,-2.104,REVERSAL,-0.154,1.406,2.418
11,2008-08-18,2008-09-15,47.5,41.29,-1476.04,-13.167,STOP,-1.004,-0.463,11.221
12,2009-07-20,2009-08-31,39.06,40.35,321.33,3.201,REVERSAL,0.231,5.172,1.536
13,2009-11-09,2009-12-14,44.02,44.45,114.19,0.876,STRONG,0.088,1.613,2.544
14,2010-01-04,2010-01-11,46.56,45.84,-267.4,-1.646,REVERSAL,-0.174,0.172,2.212
15,2010-02-16,2010-04-26,44.84,49.23,1433.18,9.685,STRONG,1.006,12.957,2.252
16,2011-01-31,2011-02-22,57.39,57.64,61.4,0.335,REVERSAL,0.055,2.875,2.196
17,2011-05-16,2011-08-01,57.78,53.09,-1485.32,-8.213,STOP,-1.005,3.548,7.208
18,2011-11-28,2012-03-26,56.63,67.54,1789.91,19.156,STRONG,1.252,20.978,4.344
19,2012-07-16,2012-09-17,64.25,70.14,1339.25,9.063,STRONG,0.926,9.852,3.268
20,2013-02-04,2013-02-19,68,67.13,-262.52,-1.379,REVERSAL,-0.164,0.382,2.603
21,2013-03-18,2013-03-25,68.6,68.96,89.99,0.425,REVERSAL,0.075,0.671,0.86
22,2013-04-22,2013-05-20,69.58,73.4,1072.07,5.387,STRONG,0.736,7.718,-0.259
23,2013-07-01,2013-07-15,72.59,74.58,509.77,2.64,STRONG,0.353,4.339,0.289
24,2013-09-09,2013-10-07,78.07,79.22,305.34,1.372,REVERSAL,0.218,2.165,2.203
25,2013-11-11,2013-12-09,83.97,84.84,217.61,0.936,STRONG,0.16,3.049,1.804
