trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-01-02,2018-01-29,161.93,164.6,448.71,1.548,REVERSAL,0.319,5.572,0.5
2,2018-03-05,2018-03-12,173.17,171.01,-251.87,-1.347,STRONG,-0.156,1.178,1.311
3,2018-04-30,2018-06-18,164.88,175.31,943.91,6.223,STRONG,0.639,7.945,0.012
4,2018-07-09,2018-07-23,179.62,177.61,-236.37,-1.218,STRONG,-0.144,1.843,1.681
5,2018-08-27,2018-09-04,186.66,181.1,-666.29,-3.077,REVERSAL,-0.429,-0.139,3.332
6,2019-03-11,2019-03-18,178.36,178.55,0.96,0.006,STRONG,0.011,2.506,0.431
7,2019-04-08,2019-05-06,185.84,184.99,-96.29,-0.557,REVERSAL,-0.053,2.949,2.588
8,2019-06-03,2019-07-15,181.05,191,849.47,5.393,STRONG,0.576,7.258,-0.492
9,2019-08-26,2019-09-16,187.48,190.79,274.64,1.665,STRONG,0.193,3.856,1.307
10,2019-10-07,2019-10-14,191.12,191.68,32.44,0.193,STRONG,0.033,1.769,0.249
11,2019-11-04,2019-11-18,201.24,201.82,37.47,0.188,STRONG,0.038,1.292,0.646
12,2019-12-09,2020-01-21,207.2,222.69,1664.98,7.372,STRONG,1.113,9.015,-0.618
13,2020-02-10,2020-02-18,234.65,230.26,-471.49,-1.97,STRONG,-0.29,1.202,2.271
14,2020-06-01,2020-06-08,239.7,235.87,-195.25,-1.697,STRONG,-0.121,3.385,3.321
15,2020-06-29,2020-07-13,252.2,259.41,312.94,2.757,STRONG,0.215,6.975,-0.222
16,2020-08-03,2020-08-10,271.48,272.15,17.92,0.147,REVERSAL,0.02,1.234,2.523
17,2020-11-30,2020-12-07,305.53,301.84,-167.73,-1.307,STRONG,-0.101,1.005,2.435
18,2020-12-28,2021-01-11,313.75,311.85,-104.0,-0.705,STRONG,-0.059,1.798,2.731
19,2021-02-01,2021-02-16,331.37,331.01,-30.41,-0.209,STRONG,-0.01,2.058,0.908
20,2021-04-12,2021-04-26,342.02,337.98,-183.96,-1.281,STRONG,-0.113,0.228,2.354
21,2021-05-24,2021-07-12,333.94,357.59,1048.69,6.979,STRONG,0.697,9.448,1.695
22,2021-08-23,2021-09-07,376.05,376.58,8.61,0.041,STRONG,0.019,1.789,-0.052
23,2021-10-25,2021-11-29,386.12,383.12,-179.38,-0.877,REVERSAL,-0.103,5.851,1.87
24,2022-03-28,2022-04-25,361.86,314.47,-1527.3,-13.19,STOP,-1.001,2.059,10.197
25,2023-03-27,2023-06-26,320.94,369.41,1780.62,14.995,REVERSAL,1.187,16.174,3.443
26,2023-10-09,2023-12-26,365.29,409.51,2016.3,11.999,STRONG,1.328,13.039,6.28
27,2024-01-16,2024-01-22,421.19,423.8,102.81,0.519,STRONG,0.079,2.056,0.147
28,2024-02-26,2024-03-04,445.62,439.01,-324.41,-1.583,STRONG,-0.194,0.678,2.686
29,2024-04-29,2024-06-17,435.49,480.17,1857.33,10.155,STRONG,1.212,11.796,-0.237
30,2024-08-12,2024-11-18,475.04,505.78,998.24,6.368,REVERSAL,0.634,8.534,5.652
31,2024-12-09,2024-12-16,530.54,518.65,-446.93,-2.34,STRONG,-0.27,1.623,4.005
