trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,1995-05-26,1995-06-01,52.57,53.49,1088.91,1.649,STRONG,0.77,2.542,0.371
2,1995-06-09,1995-06-12,53.07,53.35,263.98,0.427,REVERSAL,0.215,0.957,-0.251
3,1995-07-21,1995-07-26,55.42,56.18,765.47,1.271,STRONG,0.544,1.892,-0.116
4,1995-08-25,1995-09-11,56.31,57.69,1797.96,2.349,STRONG,1.225,2.668,0.967
5,1995-12-29,1996-01-10,61.49,60.21,-1662.65,-2.181,STOP,-1.019,1.846,1.407
6,1996-01-19,1996-02-02,61.28,63.63,2026.76,3.733,STRONG,1.358,4.464,0.278
7,1996-03-01,1996-03-08,64.9,62.63,-1624.3,-3.596,STOP,-1.01,1.647,0.135
8,1996-04-19,1996-04-24,64.54,64.99,288.54,0.597,STRONG,0.219,1.584,-0.083
9,1996-06-07,1996-06-13,67.64,67.21,-363.62,-0.735,REVERSAL,-0.204,0.578,1.2
10,1997-01-03,1997-01-20,75.1,77.65,1375.34,3.294,STRONG,0.922,3.986,1.298
11,1997-09-12,1997-09-17,92.67,94.8,718.8,2.197,STRONG,0.483,3.054,0.521
12,1997-09-26,1997-10-09,94.48,97.15,1032.25,2.725,REVERSAL,0.683,4.255,0.343
13,1998-05-08,1998-06-08,111.14,111.87,244.31,0.557,STRONG,0.182,1.477,3.205
14,1998-12-11,1998-12-15,117.14,116.68,-171.92,-0.492,REVERSAL,-0.086,-0.333,2.894
15,1999-01-15,1999-03-12,124.39,129.37,1193.87,3.902,STRONG,0.774,5.465,2.462
16,1999-03-26,1999-04-14,128.57,133.15,1219.06,3.46,REVERSAL,0.783,6.144,0.346
17,1999-05-07,1999-05-20,135.01,134.08,-256.56,-0.788,REVERSAL,-0.138,2.215,3.665
18,1999-06-04,1999-06-23,133.23,133.02,-82.01,-0.258,REVERSAL,-0.031,1.751,3.105
19,2000-01-07,2000-01-27,145.76,138.23,-1649.48,-5.263,STOP,-1.003,1.172,4.638
20,2000-08-11,2000-08-22,147.34,150.3,837.73,1.908,STRONG,0.555,2.696,0.188
21,2004-01-30,2004-02-19,113.49,115.22,827.21,1.424,REVERSAL,0.552,2.74,0.626
22,2004-04-16,2004-05-07,113.84,110.53,-1683.72,-3.006,STOP,-1.008,1.124,2.583
23,2005-07-08,2005-07-21,121.33,122.71,671.76,1.037,STRONG,0.463,1.978,0.016
24,2005-09-16,2005-09-21,123.51,120.79,-1691.08,-2.301,STOP,-1.011,0.081,1.328
25,2006-03-10,2006-03-16,128.6,131.02,1108.45,1.781,STRONG,0.743,2.232,0.054
26,2006-03-31,2006-05-08,129.84,132.35,1322.67,1.832,STRONG,0.876,2.28,1.402
27,2006-09-08,2006-09-15,130.29,131.95,897.45,1.173,STRONG,0.604,1.658,0.622
28,2006-09-22,2006-09-29,131.48,133.57,1207.76,1.489,STRONG,0.794,1.909,0.327
29,2006-12-01,2006-12-12,140.23,141.71,737.81,0.955,REVERSAL,0.496,1.476,0
30,2007-02-09,2007-02-20,143.95,146.03,1149.4,1.344,REVERSAL,0.746,1.563,0.528
31,2007-07-20,2007-07-26,153.51,149.27,-1743.38,-2.861,STOP,-1.006,0.788,2.124
32,2008-05-09,2008-05-20,138.91,141.88,877.18,2.037,REVERSAL,0.559,3.88,0.13
33,2010-11-12,2010-12-07,120.21,122.82,1087.47,2.07,STRONG,0.688,3.161,2.18
34,2011-02-25,2011-03-15,132.34,126.58,-2862.28,-4.45,STOP,-1.67,1.02,2.478
35,2011-04-15,2011-05-02,132.05,136.21,1843.85,3.049,STRONG,1.167,3.885,1.924
36,2011-05-06,2011-05-09,134.21,134.71,165.96,0.272,REVERSAL,0.137,0.671,0.171
37,2011-07-15,2011-08-02,131.7,127.34,-1719.49,-3.409,STOP,-1.005,2.369,3.166
38,2012-07-13,2012-07-26,135.76,136.16,90.04,0.194,REVERSAL,0.083,1.783,2.011
39,2012-08-31,2012-09-14,141.17,147.16,2957.99,4.141,TARGET,1.848,4.158,0.737
40,2012-12-21,2012-12-27,142.8,141.55,-584.71,-0.975,REVERSAL,-0.312,-0.063,2.017
41,2013-02-22,2013-03-15,151.9,155.82,1988.52,2.479,REVERSAL,1.235,3.226,2.087
42,2013-06-07,2013-06-20,164.81,159.79,-1767.16,-3.144,STOP,-1.004,0.716,2.13
43,2013-07-05,2013-07-16,163.03,167.51,1324.62,2.647,STRONG,0.819,3.288,-0.033
44,2013-09-06,2013-09-12,166.05,168.94,1127.12,1.64,STRONG,0.704,2.114,-0.241
45,2013-10-04,2013-10-09,168.9,164.9,-1795.93,-2.467,STOP,-1.006,-0.266,2.096
46,2014-04-25,2014-04-28,186.3,186.87,135.73,0.206,REVERSAL,0.12,0.746,0.719
47,2014-05-09,2014-05-13,187.97,189.95,671.64,0.953,STRONG,0.44,1.303,-0.016
48,2014-07-11,2014-07-14,196.62,197.59,404.22,0.393,STRONG,0.299,0.631,-0.417
49,2014-07-18,2014-07-24,197.72,198.64,332.04,0.365,STRONG,0.248,0.678,0.652
50,2014-08-15,2014-08-26,195.73,200.32,1673.34,2.244,STRONG,1.023,2.601,-0.49
51,2015-05-01,2015-05-04,210.73,211.31,122.87,0.175,STRONG,0.111,0.612,-0.176
52,2015-05-08,2015-05-19,211.63,213.02,367.43,0.556,STRONG,0.25,0.917,1.422
53,2015-12-04,2015-12-11,209.63,203.34,-1851.5,-3.099,STOP,-1.03,0.047,2.6
54,2016-06-10,2016-06-24,210.08,203.62,-2540.07,-3.173,STOP,-1.434,0.376,2.137
55,2016-09-02,2016-09-09,218.38,214.56,-1784.12,-1.848,STOP,-1.007,0.385,0.238
56,2016-09-30,2016-11-01,216.31,210.84,-1722.12,-2.628,STOP,-1.004,0.18,2.358
57,2017-05-19,2017-06-06,238.32,243.2,1772.19,1.947,STRONG,1.148,2.53,-0.21
58,2017-06-16,2017-07-17,242.65,245.52,1131.77,1.082,STRONG,0.752,1.368,1.111
59,2018-02-23,2018-02-28,274.72,271.64,-486.21,-1.221,REVERSAL,-0.268,1.529,1.249
60,2018-07-06,2018-07-19,275.43,279.99,1027.75,1.555,REVERSAL,0.661,2.088,-0.388
61,2018-09-28,2018-10-08,290.73,285.88,-1782.99,-1.767,STOP,-1.006,0.853,1.551
62,2020-06-19,2020-07-14,308.65,318.91,895.16,3.222,REVERSAL,0.576,4.555,3.149
63,2021-01-15,2021-01-19,375.71,378.64,357.4,0.679,REVERSAL,0.252,0.937,-0.277
64,2021-05-14,2021-05-27,416.59,419.28,284.01,0.545,STRONG,0.205,0.991,2.703
65,2021-08-20,2021-09-01,443.37,451.79,1411.12,1.798,STRONG,0.909,2.197,-0.015
66,2021-09-24,2021-09-30,443.92,431.74,-1716.02,-2.842,STOP,-1.002,0.029,2.473
67,2022-04-08,2022-04-22,447.58,428.89,-1664.16,-4.274,STOP,-1.002,0.543,2.674
68,2023-01-20,2023-01-31,395.89,406.47,987.35,2.571,REVERSAL,0.637,3.099,0.589
69,2023-02-17,2023-03-09,407.27,391.7,-1660.83,-3.921,STOP,-1.002,0.044,3.668
70,2023-05-05,2023-05-08,412.64,412.73,-38.72,-0.078,REVERSAL,0.007,0.145,0.33
71,2023-05-12,2023-05-19,411.6,418.61,877.12,1.602,STRONG,0.584,2.216,0.333
72,2024-03-15,2024-03-21,509.84,522.19,1514.75,2.321,STRONG,0.98,2.799,-0.251
73,2024-04-05,2024-04-15,518.44,505.84,-1704.58,-2.529,STOP,-1.002,0.446,1.805
