trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-02-23,2018-02-28,274.72,271.64,-435.91,-1.221,REVERSAL,-0.268,1.529,1.249
2,2018-07-06,2018-07-19,275.43,279.99,924.97,1.555,REVERSAL,0.661,2.088,-0.388
3,2018-09-28,2018-10-08,290.73,285.88,-1603.15,-1.767,STOP,-1.006,0.853,1.551
4,2020-06-19,2020-07-14,308.65,318.91,805.64,3.222,REVERSAL,0.576,4.555,3.149
5,2021-01-15,2021-01-19,375.71,378.64,321.66,0.679,REVERSAL,0.252,0.937,-0.277
6,2021-05-14,2021-05-27,416.59,419.28,254.47,0.545,STRONG,0.205,0.991,2.703
7,2021-08-20,2021-09-01,443.37,451.79,1267.61,1.798,STRONG,0.909,2.197,-0.015
8,2021-09-24,2021-09-30,443.92,431.74,-1539.38,-2.842,STOP,-1.002,0.029,2.473
9,2022-04-08,2022-04-22,447.58,428.89,-1492.0,-4.274,STOP,-1.002,0.543,2.674
10,2023-01-20,2023-01-31,395.89,406.47,885.56,2.571,REVERSAL,0.637,3.099,0.589
11,2023-02-17,2023-03-09,407.27,391.7,-1501.13,-3.921,STOP,-1.002,0.044,3.668
12,2023-05-05,2023-05-08,412.64,412.73,-34.85,-0.078,REVERSAL,0.007,0.145,0.33
13,2023-05-12,2023-05-19,411.6,418.61,784.79,1.602,STRONG,0.584,2.216,0.333
14,2024-03-15,2024-03-21,509.84,522.19,1360.91,2.321,STRONG,0.98,2.799,-0.251
15,2024-04-05,2024-04-15,518.44,505.84,-1534.12,-2.529,STOP,-1.002,0.446,1.805
16,2024-04-26,2024-05-07,508.27,517.13,759.6,1.642,STRONG,0.563,2.026,1.716
17,2024-05-31,2024-06-07,527.38,534,694.18,1.155,STRONG,0.517,1.803,0.906
