trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2025-01-15,2025-01-24,592.79,607.96,1005.3,2.458,STRONG,0.701,3.035,0.314
2,2025-06-20,2025-07-07,594.29,620.67,1958.71,4.337,REVERSAL,1.333,5.383,0.404
3,2025-08-20,2025-08-25,638.12,642.46,384.77,0.58,STRONG,0.293,1.313,0.675
4,2025-09-03,2025-09-12,643.75,657.4,1325.94,2.019,STRONG,0.906,2.386,0.065
5,2025-09-25,2025-10-03,658.06,669.2,1141.92,1.592,STRONG,0.776,2.221,0.027
6,2025-10-17,2025-10-30,664.4,679.82,1106.09,2.22,REVERSAL,0.735,3.808,0.166
7,2025-11-05,2025-11-18,677.59,658.09,-1653.76,-2.976,STOP,-1.001,1.088,2.418
8,2025-11-25,2025-12-01,675.03,680.26,254.93,0.674,STRONG,0.188,1.279,-0.25
9,2025-12-19,2026-01-05,680.6,687.71,488.36,0.944,REVERSAL,0.345,1.625,0.115
10,2026-01-22,2026-01-28,688.99,695.41,492.59,0.831,STRONG,0.35,1.284,0.266
11,2026-02-06,2026-03-09,690.63,666.38,-1794.85,-3.61,STOP,-1.096,0.943,3.036
12,2026-06-12,2026-07-13,741.76,749.16,385.96,0.897,STRONG,0.276,2.011,3.395
13,2026-07-21,2026-08-05,748.29,769.78,1388.97,2.77,STRONG,0.924,3.817,2.565
