trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,1994-02-07,1994-02-14,47.17,46.87,-258.53,-0.736,REVERSAL,-0.149,1.097,0.89
2,1994-03-14,1994-03-28,46.98,44.87,-1545.8,-4.589,STOP,-1.011,0.176,2.219
3,1994-10-10,1995-04-17,47.06,50.88,1979.79,8.013,REVERSAL,1.362,9.036,5.207
4,1996-04-15,1996-05-27,64.54,66.87,688.35,3.508,STRONG,0.472,6.039,2.265
5,1996-09-02,1996-10-21,65.95,70.3,1211.77,6.493,STRONG,0.815,8.605,-0.194
6,1997-12-08,1997-12-22,95.76,93.77,-304.38,-2.177,REVERSAL,-0.19,2.209,3.535
7,1999-08-23,2000-01-03,135.07,145.74,1095.08,7.796,REVERSAL,0.734,9.758,8.612
8,2000-01-31,2000-04-03,142.6,151.43,807.52,6.089,REVERSAL,0.538,9.222,6.929
9,2004-05-24,2004-11-15,112.87,117.41,854.0,3.92,STRONG,0.565,5.555,5.564
10,2005-01-03,2005-01-10,118.45,118.23,-74.1,-0.286,REVERSAL,-0.031,0.853,0.802
11,2005-08-15,2005-08-22,122.48,120.75,-435.13,-1.512,REVERSAL,-0.26,0.612,1.47
12,2005-09-26,2005-12-05,123.05,126.32,726.57,2.556,STRONG,0.486,3.811,5.014
13,2006-03-06,2006-03-27,128.6,129.82,235.61,0.848,STRONG,0.168,2.232,0.054
14,2007-03-19,2007-05-21,143.4,151.68,1415.05,5.671,STRONG,0.917,7.043,1.98
15,2010-02-16,2010-05-03,111.15,111.67,59.25,0.368,STOP,0.047,9.87,1.988
16,2011-06-27,2011-08-01,133.93,123.58,-1613.73,-7.824,STOP,-1.002,1.322,4.453
17,2011-10-17,2012-02-06,123.98,134.35,911.43,8.26,STRONG,0.588,9.364,6.275
18,2012-04-16,2012-09-17,137.96,145.86,1132.68,5.623,STRONG,0.728,7.357,7.846
19,2012-10-15,2013-02-25,143.4,152.1,1351.26,5.964,REVERSAL,0.859,6.89,6.067
20,2013-09-03,2013-09-16,166.05,170.71,696.2,2.705,STRONG,0.446,4.547,-0.241
21,2014-04-14,2014-05-12,186.4,188.04,207.75,0.779,STRONG,0.144,2.157,0.773
22,2014-10-20,2014-11-24,196.44,207.19,1350.17,5.37,STRONG,0.842,5.819,0.718
23,2015-04-06,2015-05-26,210.05,211.13,99.11,0.414,STRONG,0.075,1.776,1.566
24,2015-06-15,2015-08-17,210.82,197.98,-1682.73,-6.187,STOP,-1.002,1.119,3.183
25,2015-11-30,2016-01-04,209.63,192.62,-1652.27,-8.21,STOP,-1.002,0.047,4.675
26,2016-06-27,2016-08-22,209.93,217.28,699.37,3.399,STRONG,0.451,4.606,1.367
27,2016-11-07,2016-11-28,216.43,219.67,374.72,1.396,STRONG,0.248,2.49,0.328
28,2018-05-07,2018-06-25,272.86,271.27,-135.93,-0.682,REVERSAL,-0.072,2.426,1.869
29,2019-05-06,2019-05-13,288.11,285.83,-200.22,-0.891,REVERSAL,-0.11,0.382,2.839
30,2019-06-03,2019-07-15,287.66,297.16,653.74,3.201,STRONG,0.417,4.683,-0.054
31,2019-09-03,2019-09-16,298.06,298.27,-6.17,-0.03,STRONG,0.009,1.533,0.701
32,2019-10-07,2019-12-02,296.29,314.86,1260.25,6.164,REVERSAL,0.795,6.477,0.243
33,2020-09-08,2020-09-14,334.07,330.64,-158.02,-1.126,REVERSAL,-0.089,2.691,1.826
34,2021-02-22,2021-03-01,380.37,383.62,137.66,0.754,REVERSAL,0.096,2.774,2.232
35,2022-01-10,2022-01-18,464.73,437.97,-1251.72,-5.855,REVERSAL,-0.758,-1.026,5.762
36,2023-03-27,2023-06-20,409.4,433.2,841.63,5.71,REVERSAL,0.535,8.427,1.383
37,2023-09-05,2023-10-23,445.53,413.73,-1643.71,-7.234,STOP,-1.001,1.246,5.69
38,2025-01-13,2025-02-03,597.59,600.76,95.12,0.43,REVERSAL,0.073,2.207,1.188
39,2026-07-20,2026-08-17,738.94,765.71,754.51,3.521,STRONG,0.483,5.471,1.332
