trade_num,entry_date,exit_date,entry_price,exit_price,profit_usd,profit_pct,exit_reason,r_multiple,runup_pct,drawdown_pct
1,2018-02-12,2018-04-02,273.12,256.82,-1523.98,-6.065,STOP,-1.001,2.669,5.598
2,2018-05-07,2018-06-25,272.86,271.27,-132.21,-0.682,REVERSAL,-0.077,2.426,1.869
3,2019-05-06,2019-05-13,288.11,285.83,-195.09,-0.891,REVERSAL,-0.119,0.382,2.839
4,2019-06-03,2019-07-15,287.66,297.16,635.32,3.201,STRONG,0.449,4.683,-0.054
5,2019-08-26,2019-09-16,292.46,298.27,386.02,1.886,STRONG,0.275,3.477,1.091
6,2019-10-07,2019-12-02,296.29,314.86,1241.98,6.164,REVERSAL,0.856,6.477,0.243
7,2020-06-15,2020-06-22,308.65,300.04,-285.26,-2.888,REVERSAL,-0.188,1.895,2.99
8,2020-09-08,2020-09-14,334.07,330.64,-158.02,-1.126,REVERSAL,-0.096,2.691,1.826
9,2021-02-22,2021-03-01,380.37,383.62,134.8,0.754,REVERSAL,0.103,2.774,2.232
10,2022-01-10,2022-01-18,464.73,437.97,-1224.51,-5.855,REVERSAL,-0.816,-1.026,5.762
11,2023-01-23,2023-02-21,405.69,396.37,-330.52,-2.396,REVERSAL,-0.215,3.111,2.97
12,2023-03-27,2023-06-20,409.4,433.2,818.25,5.71,REVERSAL,0.577,8.427,1.383
13,2023-09-05,2023-10-23,445.53,416,-1498.04,-6.725,STOP,-1.001,1.246,5.69
