window,asset,interval,train_start,train_end,test_start,test_end,train_PF,train_N,train_DD,test_PF,test_N,test_DD,degradation_pct,low_n_flag
W1,BATS:SPY,1D,2016-01-01,2020-12-31,2021-01-01,2021-12-31,1.403,35,4.12,1.07,15,5.95,23.73,"low-N, indicative only"
W1,BATS:QQQ,1D,2016-01-01,2020-12-31,2021-01-01,2021-12-31,1.583,71,3.91,1.046,14,3.3,33.92,"low-N, indicative only"
W1,BITSTAMP:BTCUSD,1D,2016-01-01,2020-12-31,2021-01-01,2021-12-31,1.314,41,6.97,1.04,10,2.76,20.85,"low-N, indicative only"
W1,BATS:SPY,1W,2016-01-01,2020-12-31,2021-01-01,2021-12-31,6.0,8,0.73,,1,0.38,,"low-N, indicative only"
W1,BATS:QQQ,1W,2016-01-01,2020-12-31,2021-01-01,2021-12-31,10.926,14,0.88,0.0,3,0.69,100.0,"low-N, indicative only"
W1,BITSTAMP:BTCUSD,1W,2016-01-01,2020-12-31,2021-01-01,2021-12-31,13.238,7,1.63,5.337,2,0.31,59.68,"low-N, indicative only"
W2,BATS:SPY,1D,2017-01-01,2021-12-31,2022-01-01,2022-12-31,1.264,42,5.94,0.0,2,3.08,100.0,"low-N, indicative only"
W2,BATS:QQQ,1D,2017-01-01,2021-12-31,2022-01-01,2022-12-31,1.666,70,3.91,0.0,4,2.8,100.0,"low-N, indicative only"
W2,BITSTAMP:BTCUSD,1D,2017-01-01,2021-12-31,2022-01-01,2022-12-31,1.005,39,6.97,,0,0.0,,"low-N, indicative only"
W2,BATS:SPY,1W,2017-01-01,2021-12-31,2022-01-01,2022-12-31,4.098,7,0.72,0.0,1,1.14,100.0,"low-N, indicative only"
W2,BATS:QQQ,1W,2017-01-01,2021-12-31,2022-01-01,2022-12-31,4.637,15,0.87,,0,0.0,,"low-N, indicative only"
W2,BITSTAMP:BTCUSD,1W,2017-01-01,2021-12-31,2022-01-01,2022-12-31,10.135,7,1.63,,0,0.0,,"low-N, indicative only"
W3,BATS:SPY,1D,2018-01-01,2022-12-31,2023-01-01,2023-12-31,0.821,36,6.93,0.677,7,1.87,17.54,"low-N, indicative only"
W3,BATS:QQQ,1D,2018-01-01,2022-12-31,2023-01-01,2023-12-31,1.246,54,4.37,1.506,12,2.55,-20.87,"low-N, indicative only"
W3,BITSTAMP:BTCUSD,1D,2018-01-01,2022-12-31,2023-01-01,2023-12-31,1.016,27,4.62,1.463,6,1.66,-44.0,"low-N, indicative only"
W3,BATS:SPY,1W,2018-01-01,2022-12-31,2023-01-01,2023-12-31,1.16,8,1.17,0.509,2,1.5,56.12,"low-N, indicative only"
W3,BATS:QQQ,1W,2018-01-01,2022-12-31,2023-01-01,2023-12-31,3.094,12,0.88,,2,0.96,,"low-N, indicative only"
W3,BITSTAMP:BTCUSD,1W,2018-01-01,2022-12-31,2023-01-01,2023-12-31,5.783,6,1.63,,1,0.55,,"low-N, indicative only"
W4,BATS:SPY,1D,2019-01-01,2023-12-31,2024-01-01,2024-12-31,0.782,38,7.91,0.692,9,3.69,11.51,"low-N, indicative only"
W4,BATS:QQQ,1D,2019-01-01,2023-12-31,2024-01-01,2024-12-31,1.082,58,5.86,1.443,13,2.0,-33.36,"low-N, indicative only"
W4,BITSTAMP:BTCUSD,1D,2019-01-01,2023-12-31,2024-01-01,2024-12-31,1.434,30,4.62,8.5,9,1.29,-492.75,"low-N, indicative only"
W4,BATS:SPY,1W,2019-01-01,2023-12-31,2024-01-01,2024-12-31,0.882,9,1.9,,0,0.0,,"low-N, indicative only"
W4,BATS:QQQ,1W,2019-01-01,2023-12-31,2024-01-01,2024-12-31,5.656,13,0.97,3.003,2,1.04,46.91,"low-N, indicative only"
W4,BITSTAMP:BTCUSD,1W,2019-01-01,2023-12-31,2024-01-01,2024-12-31,17.308,6,1.05,,1,0.72,,"low-N, indicative only"
W5,BATS:SPY,1D,2020-01-01,2024-12-31,2025-01-01,2026-12-31,0.784,43,10.15,2.854,13,3.46,-264.03,"low-N, indicative only"
W5,BATS:QQQ,1D,2020-01-01,2024-12-31,2025-01-01,2026-12-31,0.974,57,5.86,2.033,18,2.11,-108.73,"low-N, indicative only"
W5,BITSTAMP:BTCUSD,1D,2020-01-01,2024-12-31,2025-01-01,2026-12-31,1.776,34,3.48,0.719,9,2.88,59.52,"low-N, indicative only"
W5,BATS:SPY,1W,2020-01-01,2024-12-31,2025-01-01,2026-12-31,0.321,5,1.9,,2,0.28,,"low-N, indicative only"
W5,BATS:QQQ,1W,2020-01-01,2024-12-31,2025-01-01,2026-12-31,6.511,10,1.05,0.511,3,3.1,92.15,"low-N, indicative only"
W5,BITSTAMP:BTCUSD,1W,2020-01-01,2024-12-31,2025-01-01,2026-12-31,129.303,7,0.72,2.848,4,0.86,97.8,"low-N, indicative only"
